ano,uf,instituto,periodo_campo,candidato_resultado,ranking_voto_bruto,ranking_pesquisa,share_voto_nominal_calculado,share_pesquisa,erro_estimativa_pp,erro_distancia_corte_pp
2010,GO,Ibope,21-23/09,Pedro Wilson Guimarães PT,3.0,3.0,0.1794989200369899,0.13043478260869565,-4.906413742829424,-2.603206864311092
2010,GO,Ibope,21-23/09,Adib Elias PMDB,9.0,4.0,8.169160439043358e-07,0.07971014492753623,7.970932801149232,10.274139679667563
2010,GO,Ibope,21-23/09,Renner Reis[nota 3] PP,5.0,5.0,0.0156051387286825,0.050724637681159424,3.5119498952476924,5.815156773766024
2010,GO,Ibope,21-23/09,Paulo Roberto Cunha PP,4.0,6.0,0.0464904878295847,0.043478260869565216,-0.30122269600194806,2.0019841825163844
2010,GO,Ibope,21-23/09,Elias Vaz PSOL,6.0,7.0,0.009230742838097,0.021739130434782608,1.2508387596685608,3.554045638186892
2010,GO,Ibope,21-23/09,Rubens Donizzeti PSTU,7.0,8.0,0.0015935989726463,0.007246376811594203,0.5652777838947903,2.868484662413117
2010,GO,Ibope,21-23/09,Bernardo Bispo PCB,8.0,9.0,0.0010474905972963,0.007246376811594203,0.6198886214297903,2.9230954999481185
2010,GO,Serpes,25-27/09,Demóstenes Torres[nota 1] DEM,1.0,1.0,0.4408920396433017,0.4316642316376677,-0.9227808005633997,-0.8939680040583866
2010,GO,Serpes,25-27/09,Lúcia Vânia PSDB,2.0,2.0,0.3056407644373572,0.3053526364723071,-0.028812796505012228,0.0
2010,GO,Serpes,25-27/09,Pedro Wilson Guimarães PT,3.0,3.0,0.1794989200369899,0.1288351706733962,-5.066374936359369,-5.037562139854357
2010,GO,Serpes,25-27/09,Adib Elias PMDB,9.0,4.0,8.169160439043358e-07,0.058440695975561174,5.843987905951727,5.872800702456736
2010,GO,Serpes,25-27/09,Paulo Roberto Cunha PP,4.0,5.0,0.0464904878295847,0.047815114889095504,0.13246270595108078,0.16127550245609257
2010,GO,Serpes,25-27/09,Elias Vaz PSOL,6.0,6.0,0.009230742838097,0.013281976358082084,0.4051233519985084,0.4339361485035198
2010,GO,Serpes,25-27/09,Rubens Donizzeti PSTU,7.0,7.0,0.0015935989726463,0.00796918581484925,0.637558684220295,0.666371480725303
2010,GO,Serpes,25-27/09,Bernardo Bispo PCB,8.0,8.0,0.0010474905972963,0.006640988179041042,0.5593497581744742,0.5881625546794851
2010,MA,Escutec,18-21/09,Edison Lobão,1.0,1.0,0.3273650220441059,0.3217850851438638,-0.5579936900242111,6.105306480232308
2010,MA,Escutec,18-21/09,João Alberto,2.0,2.0,0.297402232471796,0.23076923076923078,-6.6633001702565196,0.0
2010,MA,Escutec,18-21/09,Vidigal,5.0,3.0,0.0966659479869499,0.16441573693482092,6.774978894787102,13.438279065043623
2010,MA,Escutec,18-21/09,Zé Reinaldo,3.0,4.0,0.1399409810728227,0.14738696418085734,0.7445983108034626,7.407898481059982
2010,MA,Escutec,18-21/09,Roberto Rocha,4.0,5.0,0.123641055832182,0.10510863182618908,-1.853242400599292,4.810057769657227
2010,MA,Escutec,18-21/09,Prof. Adonilson,10.0,6.0,0.0,0.01056958308866706,1.056958308866706,7.720258479123228
2010,MA,Escutec,18-21/09,Noleto,9.0,7.0,0.0034269674915071,0.008220786846741046,0.4793819355233946,7.142682105779912
2010,MA,Escutec,18-21/09,Charles Vieira,8.0,8.0,0.0035877568518674,0.005871990604815033,0.22842337529476328,6.891723545551283
