ano,uf,pagina,url,tabela,linha,periodo_campo,instituto,margem_erro_texto,margem_erro_pp,formato,candidato_rotulo,percentual,valor_original,contexto
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Castro (REDE),11.0,11%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Fernando (PSOL),4.0,4%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,2,18 de setembro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Rondinely (PSOL),3.0,3%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Braga (MDB),42.0,42%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Vanessa (PCdoB),31.0,31%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Plinio (PSDB),31.0,31%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Alfredo (PR),29.0,29%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Hissa (PDT),16.0,16%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Castro (REDE),15.0,15%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
2018,AM,Eleições estaduais no Amazonas em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Amazonas_em_2018,1,3,5 de outubro de 2018,Ibope,±3%,3.0,duas_mencoes_agregadas,Fernando (PSOL),5.0,5%,Senador | 2.º turno | 1.º turno | Governo do Estado | Senador[editar | editar código]
