ano,uf,pagina,url,tabela,linha,candidato_resultado,partido_resultado,votos,percentual_publicado,percentual_original,fonte_primaria,fonte_estruturada,ranking_voto_bruto,eleito_top2_voto_bruto,share_voto_nominal_calculado,diferenca_percentual_publicado_pp
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,8,Átila,,135573,5.15,"5,15%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,9,False,0.025731120016307212,2.5768879983692794
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,9,Marques,,124904,4.74,"4,74%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,10,False,0.02370619381821481,2.3693806181785195
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,10,Marivaldo,,83112,3.15,"3,15%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,11,False,0.015774268082843376,1.5725731917156625
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,11,Ribeiro,,77682,2.95,"2,95%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,12,False,0.014743679531372596,1.4756320468627406
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,12,Neves,,73753,2.8,"2,8%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,13,False,0.013997973745234715,1.4002026254765283
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,13,Amábile,,43089,1.64,"1,64%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,14,False,0.008178090256781671,0.8221909743218326
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,14,Sant'anna,,17074,0.65,"0,65%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,15,False,0.0032405651800758955,0.3259434819924105
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,15,Robson,,5319,0.2,"0,2%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,16,False,0.001009521271689334,0.0990478728310666
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,16,Ferraz,,0,0.0,0%,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,17,False,0.0,0.0
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,17,Matoso,,0,0.0,0%,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,18,False,0.0,0.0
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,18,Queiroz,,0,0.0,0%,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,19,False,0.0,0.0
2018,DF,Eleições distritais no Distrito Federal em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_distritais_no_Distrito_Federal_em_2018,14,19,Totais,Totais,2634417,,,TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,1,True,0.5,
2018,ES,Eleições estaduais no Espírito Santo em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Esp%C3%ADrito_Santo_em_2018,10,1,Fabiano Contarato (REDE),,1117036,31.15,"31,15%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,1,True,0.31149151944960635,0.0008480550393652475
2018,ES,Eleições estaduais no Espírito Santo em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Esp%C3%ADrito_Santo_em_2018,10,2,Marcos do Val (PPS),,863359,24.08,"24,08%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,2,True,0.24075231840378708,0.004768159621290624
2018,ES,Eleições estaduais no Espírito Santo em 2018,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%B5es_estaduais_no_Esp%C3%ADrito_Santo_em_2018,10,3,Magno Malta (PR),,611284,17.05,"17,05%",TSE/Justiça Eleitoral (conforme tabela estadual),Wikipédia,3,False,0.17045984370712597,0.004015629287404399
